Product_ID;ProductLabel;CurrencyKey;UnitPrice_CNY;SCD_EffectiveDate;ETL_LoadID;ETL_CreateDate;ETL_ModifiedDate
"0707020702111";"0702111";"23";"230.271";"2014-07-01";"";"2018-11-29";"2019-04-16"
"0707020702111";"0702111";"23";"238.1146";"2015-07-01";"";"2018-11-29";"2019-04-16"
"0707020702111";"0702111";"23";"263.5665";"2016-07-01";"";"2018-11-29";"2019-04-16"
"0707020702112";"0702112";"23";"202.528";"2012-01-01";"";"2018-11-29";"2019-04-16"
"0707020702112";"0702112";"23";"209.248";"2012-07-01";"";"2018-11-29";"2019-04-16"
"0707020702112";"0702112";"23";"215.4642";"2013-07-01";"";"2018-11-29";"2019-04-16"
"0707020702112";"0702112";"23";"230.271";"2014-07-01";"";"2018-11-29";"2019-04-16"
"0707020702112";"0702112";"23";"238.1146";"2015-07-01";"";"2018-11-29";"2019-04-16"
"0707020702112";"0702112";"23";"263.5665";"2016-07-01";"";"2018-11-29";"2019-04-16"
"0707020702113";"0702113";"23";"202.528";"2012-01-01";"";"2018-11-29";"2019-04-16"
"0707020702113";"0702113";"23";"209.248";"2012-07-01";"";"2018-11-29";"2019-04-16"
"0707020702113";"0702113";"23";"215.4642";"2013-07-01";"";"2018-11-29";"2019-04-16"
"0707020702113";"0702113";"23";"230.271";"2014-07-01";"";"2018-11-29";"2019-04-16"
"0707020702113";"0702113";"23";"238.1146";"2015-07-01";"";"2018-11-29";"2019-04-16"
"0707020702113";"0702113";"23";"263.5665";"2016-07-01";"";"2018-11-29";"2019-04-16"
"0707020702114";"0702114";"23";"202.528";"2012-01-01";"";"2018-11-29";"2019-04-16"
"0707020702114";"0702114";"23";"209.248";"2012-07-01";"";"2018-11-29";"2019-04-16"
"0707020702114";"0702114";"23";"215.4642";"2013-07-01";"";"2018-11-29";"2019-04-16"
"0707020702114";"0702114";"23";"230.271";"2014-07-01";"";"2018-11-29";"2019-04-16"
"0707020702114";"0702114";"23";"238.1146";"2015-07-01";"";"2018-11-29";"2019-04-16"
"0707020702114";"0702114";"23";"263.5665";"2016-07-01";"";"2018-11-29";"2019-04-16"
"0707020702115";"0702115";"23";"202.528";"2012-01-01";"";"2018-11-29";"2019-04-16"
"0707020702115";"0702115";"23";"209.248";"2012-07-01";"";"2018-11-29";"2019-04-16"
"0707020702115";"0702115";"23";"215.4642";"2013-07-01";"";"2018-11-29";"2019-04-16"
"0707020702115";"0702115";"23";"230.271";"2014-07-01";"";"2018-11-29";"2019-04-16"
"0707020702115";"0702115";"23";"238.1146";"2015-07-01";"";"2018-11-29";"2019-04-16"
"0707020702115";"0702115";"23";"263.5665";"2016-07-01";"";"2018-11-29";"2019-04-16"
"0707020702116";"0702116";"23";"202.528";"2012-01-01";"";"2018-11-29";"2019-04-16"
"0707020702116";"0702116";"23";"209.248";"2012-07-01";"";"2018-11-29";"2019-04-16"
"0707020702116";"0702116";"23";"215.4642";"2013-07-01";"";"2018-11-29";"2019-04-16"
"0707020702116";"0702116";"23";"230.271";"2014-07-01";"";"2018-11-29";"2019-04-16"
"0707020702116";"0702116";"23";"238.1146";"2015-07-01";"";"2018-11-29";"2019-04-16"
"0707020702116";"0702116";"23";"263.5665";"2016-07-01";"";"2018-11-29";"2019-04-16"
"0707020702117";"0702117";"23";"202.528";"2012-01-01";"";"2018-11-29";"2019-04-16"
"0707020702117";"0702117";"23";"204.6853";"2014-07-01";"";"2018-11-29";"2019-04-16"
"0707020702117";"0702117";"23";"216.2874";"2015-07-01";"";"2018-11-29";"2019-04-16"
"0707020702117";"0702117";"23";"248.6877";"2016-07-01";"";"2018-11-29";"2019-04-16"
"0707020702118";"0702118";"23";"202.528";"2012-01-01";"";"2018-11-29";"2019-04-16"
"0707020702118";"0702118";"23";"209.248";"2012-07-01";"";"2018-11-29";"2019-04-16"
"0707020702118";"0702118";"23";"215.4642";"2013-07-01";"";"2018-11-29";"2019-04-16"
"0707020702118";"0702118";"23";"230.271";"2014-07-01";"";"2018-11-29";"2019-04-16"
"0707020702118";"0702118";"23";"238.1146";"2015-07-01";"";"2018-11-29";"2019-04-16"
"0707020702118";"0702118";"23";"263.5665";"2016-07-01";"";"2018-11-29";"2019-04-16"
"0707020702119";"0702119";"23";"202.528";"2012-01-01";"";"2018-11-29";"2019-04-16"
"0707020702119";"0702119";"23";"209.248";"2012-07-01";"";"2018-11-29";"2019-04-16"
"0707020702119";"0702119";"23";"215.4642";"2013-07-01";"";"2018-11-29";"2019-04-16"
"0707020702119";"0702119";"23";"230.271";"2014-07-01";"";"2018-11-29";"2019-04-16"
"0707020702119";"0702119";"23";"238.1146";"2015-07-01";"";"2018-11-29";"2019-04-16"
"0707020702119";"0702119";"23";"263.5665";"2016-07-01";"";"2018-11-29";"2019-04-16"
"0707020702120";"0702120";"23";"202.528";"2012-01-01";"";"2018-11-29";"2019-04-16"
"0707020702120";"0702120";"23";"209.248";"2012-07-01";"";"2018-11-29";"2019-04-16"
"0707020702120";"0702120";"23";"215.4642";"2013-07-01";"";"2018-11-29";"2019-04-16"
"0707020702120";"0702120";"23";"230.271";"2014-07-01";"";"2018-11-29";"2019-04-16"
"0707020702120";"0702120";"23";"238.1146";"2015-07-01";"";"2018-11-29";"2019-04-16"
"0707020702120";"0702120";"23";"263.5665";"2016-07-01";"";"2018-11-29";"2019-04-16"
"0808010801001";"0801001";"23";"16784.508";"2012-01-01";"";"2018-11-29";"2019-04-16"
"0808010801001";"0801001";"23";"16963.295";"2014-07-01";"";"2018-11-29";"2019-04-16"
"0808010801001";"0801001";"23";"17924.818";"2015-07-01";"";"2018-11-29";"2019-04-16"
"0808010801001";"0801001";"23";"20609.994";"2016-07-01";"";"2018-11-29";"2019-04-16"
"0808010801002";"0801002";"23";"12588.381";"2012-01-01";"";"2018-11-29";"2019-04-16"
"0808010801002";"0801002";"23";"12778.115";"2013-07-01";"";"2018-11-29";"2019-04-16"
"0808010801002";"0801002";"23";"13334.129";"2014-07-01";"";"2018-11-29";"2019-04-16"
"0808010801002";"0801002";"23";"14430.301";"2015-07-01";"";"2018-11-29";"2019-04-16"
"0808010801002";"0801002";"23";"15853.842";"2016-07-01";"";"2018-11-29";"2019-04-16"
"0808010801003";"0801003";"23";"11506.122";"2012-01-01";"";"2018-11-29";"2019-04-16"
"0808010801003";"0801003";"23";"11887.902";"2012-07-01";"";"2018-11-29";"2019-04-16"
"0808010801003";"0801003";"23";"12241.062";"2013-07-01";"";"2018-11-29";"2019-04-16"
"0808010801003";"0801003";"23";"13082.27";"2014-07-01";"";"2018-11-29";"2019-04-16"
"0808010801003";"0801003";"23";"13527.884";"2015-07-01";"";"2018-11-29";"2019-04-16"
"0808010801003";"0801003";"23";"14973.87";"2016-07-01";"";"2018-11-29";"2019-04-16"
"0808010801004";"0801004";"23";"10120.071";"2012-01-01";"";"2018-11-29";"2019-04-16"
"0808010801004";"0801004";"23";"10455.861";"2012-07-01";"";"2018-11-29";"2019-04-16"
"0808010801004";"0801004";"23";"10766.478";"2013-07-01";"";"2018-11-29";"2019-04-16"
"0808010801004";"0801004";"23";"11506.353";"2014-07-01";"";"2018-11-29";"2019-04-16"
"0808010801004";"0801004";"23";"11898.287";"2015-07-01";"";"2018-11-29";"2019-04-16"
"0808010801004";"0801004";"23";"13170.087";"2016-07-01";"";"2018-11-29";"2019-04-16"
"0808010801005";"0801005";"23";"6322.671";"2012-01-01";"";"2018-11-29";"2019-04-16"
"0808010801005";"0801005";"23";"6532.461";"2012-07-01";"";"2018-11-29";"2019-04-16"
"0808010801005";"0801005";"23";"6726.524";"2013-07-01";"";"2018-11-29";"2019-04-16"
"0808010801005";"0801005";"23";"7188.772";"2014-07-01";"";"2018-11-29";"2019-04-16"
"0808010801005";"0801005";"23";"7433.6387";"2015-07-01";"";"2018-11-29";"2019-04-16"
"0808010801005";"0801005";"23";"8228.216";"2016-07-01";"";"2018-11-29";"2019-04-16"
"0808010801006";"0801006";"23";"16784.508";"2012-01-01";"";"2018-11-29";"2019-04-16"
"0808010801006";"0801006";"23";"16963.295";"2014-07-01";"";"2018-11-29";"2019-04-16"
"0808010801006";"0801006";"23";"17924.818";"2015-07-01";"";"2018-11-29";"2019-04-16"
"0808010801006";"0801006";"23";"20609.994";"2016-07-01";"";"2018-11-29";"2019-04-16"
"0808010801007";"0801007";"23";"12588.381";"2012-01-01";"";"2018-11-29";"2019-04-16"
"0808010801007";"0801007";"23";"12778.115";"2013-07-01";"";"2018-11-29";"2019-04-16"
"0808010801007";"0801007";"23";"13334.129";"2014-07-01";"";"2018-11-29";"2019-04-16"
"0808010801007";"0801007";"23";"14430.301";"2015-07-01";"";"2018-11-29";"2019-04-16"
"0808010801007";"0801007";"23";"15853.842";"2016-07-01";"";"2018-11-29";"2019-04-16"
"0808010801008";"0801008";"23";"11506.122";"2012-01-01";"";"2018-11-29";"2019-04-16"
"0808010801008";"0801008";"23";"11887.902";"2012-07-01";"";"2018-11-29";"2019-04-16"
"0808010801008";"0801008";"23";"12241.062";"2013-07-01";"";"2018-11-29";"2019-04-16"
