Product_ID;ProductLabel;CurrencyKey;UnitPrice_CNY;SCD_EffectiveDate;ETL_LoadID;ETL_CreateDate;ETL_ModifiedDate
"0808060806073";"0806073";"23";"4732.4526";"2015-07-01";"";"2018-11-29";"2019-04-16"
"0808060806073";"0806073";"23";"5238.3013";"2016-07-01";"";"2018-11-29";"2019-04-16"
"0808060806074";"0806074";"23";"2145.531";"2012-01-01";"";"2018-11-29";"2019-04-16"
"0808060806074";"0806074";"23";"2177.869";"2013-07-01";"";"2018-11-29";"2019-04-16"
"0808060806074";"0806074";"23";"2272.6343";"2014-07-01";"";"2018-11-29";"2019-04-16"
"0808060806074";"0806074";"23";"2459.463";"2015-07-01";"";"2018-11-29";"2019-04-16"
"0808060806074";"0806074";"23";"2702.0876";"2016-07-01";"";"2018-11-29";"2019-04-16"
"0808060806075";"0806075";"23";"1699.3365";"2012-01-01";"";"2018-11-29";"2019-04-16"
"0808060806075";"0806075";"23";"1724.9493";"2013-07-01";"";"2018-11-29";"2019-04-16"
"0808060806075";"0806075";"23";"1800.0068";"2014-07-01";"";"2018-11-29";"2019-04-16"
"0808060806075";"0806075";"23";"1947.9817";"2015-07-01";"";"2018-11-29";"2019-04-16"
"0808060806075";"0806075";"23";"2140.1492";"2016-07-01";"";"2018-11-29";"2019-04-16"
"0808060806076";"0806076";"23";"1455.6067";"2012-01-01";"";"2018-11-29";"2019-04-16"
"0808060806076";"0806076";"23";"1503.9045";"2012-07-01";"";"2018-11-29";"2019-04-16"
"0808060806076";"0806076";"23";"1548.5818";"2013-07-01";"";"2018-11-29";"2019-04-16"
"0808060806076";"0806076";"23";"1655.0007";"2014-07-01";"";"2018-11-29";"2019-04-16"
"0808060806076";"0806076";"23";"1711.374";"2015-07-01";"";"2018-11-29";"2019-04-16"
"0808060806076";"0806076";"23";"1894.3016";"2016-07-01";"";"2018-11-29";"2019-04-16"
"0808060806077";"0806077";"23";"759.4167";"2012-01-01";"";"2018-11-29";"2019-04-16"
"0808060806077";"0806077";"23";"784.6146";"2012-07-01";"";"2018-11-29";"2019-04-16"
"0808060806077";"0806077";"23";"807.9235";"2013-07-01";"";"2018-11-29";"2019-04-16"
"0808060806077";"0806077";"23";"863.4442";"2014-07-01";"";"2018-11-29";"2019-04-16"
"0808060806077";"0806077";"23";"892.8552";"2015-07-01";"";"2018-11-29";"2019-04-16"
"0808060806077";"0806077";"23";"988.2919";"2016-07-01";"";"2018-11-29";"2019-04-16"
"0808060806078";"0806078";"23";"645.4947";"2012-01-01";"";"2018-11-29";"2019-04-16"
"0808060806078";"0806078";"23";"666.9126";"2012-07-01";"";"2018-11-29";"2019-04-16"
"0808060806078";"0806078";"23";"686.7249";"2013-07-01";"";"2018-11-29";"2019-04-16"
"0808060806078";"0806078";"23";"733.9168";"2014-07-01";"";"2018-11-29";"2019-04-16"
"0808060806078";"0806078";"23";"758.9157";"2015-07-01";"";"2018-11-29";"2019-04-16"
"0808060806078";"0806078";"23";"840.0357";"2016-07-01";"";"2018-11-29";"2019-04-16"
"0808060806079";"0806079";"23";"506.0036";"2012-01-01";"";"2018-11-29";"2019-04-16"
"0808060806079";"0806079";"23";"522.7931";"2012-07-01";"";"2018-11-29";"2019-04-16"
"0808060806079";"0806079";"23";"538.3239";"2013-07-01";"";"2018-11-29";"2019-04-16"
"0808060806079";"0806079";"23";"575.3176";"2014-07-01";"";"2018-11-29";"2019-04-16"
"0808060806079";"0806079";"23";"594.9143";"2015-07-01";"";"2018-11-29";"2019-04-16"
"0808060806079";"0806079";"23";"658.5043";"2016-07-01";"";"2018-11-29";"2019-04-16"
"0808060806080";"0806080";"23";"189.8067";"2012-01-01";"";"2018-11-29";"2019-04-16"
"0808060806080";"0806080";"23";"196.1046";"2012-07-01";"";"2018-11-29";"2019-04-16"
"0808060806080";"0806080";"23";"201.9304";"2013-07-01";"";"2018-11-29";"2019-04-16"
"0808060806080";"0806080";"23";"215.8071";"2014-07-01";"";"2018-11-29";"2019-04-16"
"0808060806080";"0806080";"23";"223.158";"2015-07-01";"";"2018-11-29";"2019-04-16"
"0808060806080";"0806080";"23";"247.0112";"2016-07-01";"";"2018-11-29";"2019-04-16"
"0808060806081";"0806081";"23";"4025.1807";"2012-01-01";"";"2018-11-29";"2019-04-16"
"0808060806081";"0806081";"23";"4085.849";"2013-07-01";"";"2018-11-29";"2019-04-16"
"0808060806081";"0806081";"23";"4263.636";"2014-07-01";"";"2018-11-29";"2019-04-16"
"0808060806081";"0806081";"23";"4614.141";"2015-07-01";"";"2018-11-29";"2019-04-16"
"0808060806081";"0806081";"23";"5069.3237";"2016-07-01";"";"2018-11-29";"2019-04-16"
