Product_ID;CurrencyKey;UnitCost_CNY;SCD_EffectiveDate;ETL_LoadID;ETL_CreateDate
"0101010101001";"23";"44.3909";"2014-10-01";"";"2019-04-16"
"0101010101002";"23";"44.3909";"2014-10-01";"";"2019-04-16"
"0101010101003";"23";"49.6212";"2014-10-01";"";"2019-04-16"
"0101010101004";"23";"73.7613";"2014-10-01";"";"2019-04-16"
"0101010101005";"23";"73.7613";"2014-10-01";"";"2019-04-16"
"0101010101006";"23";"73.7613";"2014-10-01";"";"2019-04-16"
"0101010101007";"23";"73.7613";"2014-10-01";"";"2019-04-16"
"0101010101008";"23";"205.0564";"2014-10-01";"";"2019-04-16"
"0101010101009";"23";"205.0564";"2014-10-01";"";"2019-04-16"
"0101010101010";"23";"205.0564";"2014-10-01";"";"2019-04-16"
"0101010101011";"23";"205.0564";"2014-10-01";"";"2019-04-16"
"0101010101012";"23";"239.523";"2014-10-01";"";"2019-04-16"
"0101010101013";"23";"239.523";"2014-10-01";"";"2019-04-16"
"0101010101014";"23";"239.523";"2014-10-01";"";"2019-04-16"
"0101010101015";"23";"239.523";"2014-10-01";"";"2019-04-16"
"0101010101016";"23";"335.9233";"2014-10-01";"";"2019-04-16"
"0101010101017";"23";"335.9233";"2014-10-01";"";"2019-04-16"
"0101010101018";"23";"335.9233";"2014-10-01";"";"2019-04-16"
"0101010101019";"23";"335.9233";"2014-10-01";"";"2019-04-16"
"0101010101020";"23";"409.4065";"2014-10-01";"";"2019-04-16"
"0101010101021";"23";"409.4065";"2014-10-01";"";"2019-04-16"
"0101010101022";"23";"409.4065";"2014-10-01";"";"2019-04-16"
"0101010101023";"23";"409.4065";"2014-10-01";"";"2019-04-16"
"0101010101024";"23";"582.5105";"2014-10-01";"";"2019-04-16"
"0101010101025";"23";"582.5105";"2014-10-01";"";"2019-04-16"
"0101010101026";"23";"582.5105";"2014-10-01";"";"2019-04-16"
"0101010101027";"23";"582.5105";"2014-10-01";"";"2019-04-16"
"0101010101028";"23";"582.5105";"2014-10-01";"";"2019-04-16"
"0101010101029";"23";"561.356";"2014-10-01";"";"2019-04-16"
"0101010101030";"23";"561.356";"2014-10-01";"";"2019-04-16"
"0101010101031";"23";"561.356";"2014-10-01";"";"2019-04-16"
"0101010101032";"23";"561.356";"2014-10-01";"";"2019-04-16"
"0101010101033";"23";"561.356";"2014-10-01";"";"2019-04-16"
"0101010101034";"23";"325.027";"2014-10-01";"";"2019-04-16"
"0101010101035";"23";"325.027";"2014-10-01";"";"2019-04-16"
"0101010101036";"23";"325.027";"2014-10-01";"";"2019-04-16"
