Product_ID;CurrencyKey;UnitCost_CNY;SCD_EffectiveDate;ETL_LoadID;ETL_CreateDate
"0101010101001";"23";"46.6868";"2015-10-01";"";"2019-04-16"
"0101010101002";"23";"46.6868";"2015-10-01";"";"2019-04-16"
"0101010101003";"23";"52.1876";"2015-10-01";"";"2019-04-16"
"0101010101004";"23";"77.5762";"2015-10-01";"";"2019-04-16"
"0101010101005";"23";"77.5762";"2015-10-01";"";"2019-04-16"
"0101010101006";"23";"77.5762";"2015-10-01";"";"2019-04-16"
"0101010101007";"23";"77.5762";"2015-10-01";"";"2019-04-16"
"0101010101008";"23";"215.6619";"2015-10-01";"";"2019-04-16"
"0101010101009";"23";"215.6619";"2015-10-01";"";"2019-04-16"
"0101010101010";"23";"215.6619";"2015-10-01";"";"2019-04-16"
"0101010101011";"23";"215.6619";"2015-10-01";"";"2019-04-16"
"0101010101012";"23";"251.9112";"2015-10-01";"";"2019-04-16"
"0101010101013";"23";"251.9112";"2015-10-01";"";"2019-04-16"
"0101010101014";"23";"251.9112";"2015-10-01";"";"2019-04-16"
"0101010101015";"23";"251.9112";"2015-10-01";"";"2019-04-16"
"0101010101016";"23";"350.1439";"2015-10-01";"";"2019-04-16"
"0101010101017";"23";"350.1439";"2015-10-01";"";"2019-04-16"
"0101010101018";"23";"350.1439";"2015-10-01";"";"2019-04-16"
"0101010101019";"23";"350.1439";"2015-10-01";"";"2019-04-16"
"0101010101020";"23";"426.7379";"2015-10-01";"";"2019-04-16"
"0101010101021";"23";"426.7379";"2015-10-01";"";"2019-04-16"
"0101010101022";"23";"426.7379";"2015-10-01";"";"2019-04-16"
"0101010101023";"23";"426.7379";"2015-10-01";"";"2019-04-16"
"0101010101024";"23";"630.8034";"2015-10-01";"";"2019-04-16"
"0101010101025";"23";"630.8034";"2015-10-01";"";"2019-04-16"
"0101010101026";"23";"630.8034";"2015-10-01";"";"2019-04-16"
"0101010101027";"23";"630.8034";"2015-10-01";"";"2019-04-16"
"0101010101028";"23";"630.8034";"2015-10-01";"";"2019-04-16"
"0101010101029";"23";"585.1199";"2015-10-01";"";"2019-04-16"
"0101010101030";"23";"585.1199";"2015-10-01";"";"2019-04-16"
"0101010101031";"23";"585.1199";"2015-10-01";"";"2019-04-16"
"0101010101032";"23";"585.1199";"2015-10-01";"";"2019-04-16"
"0101010101033";"23";"585.1199";"2015-10-01";"";"2019-04-16"
"0101010101034";"23";"338.7864";"2015-10-01";"";"2019-04-16"
"0101010101035";"23";"338.7864";"2015-10-01";"";"2019-04-16"
"0101010101036";"23";"338.7864";"2015-10-01";"";"2019-04-16"
"0101010101037";"23";"699.1734";"2015-10-01";"";"2019-04-16"
"0101010101038";"23";"699.1734";"2015-10-01";"";"2019-04-16"
"0101010101039";"23";"699.1734";"2015-10-01";"";"2019-04-16"
"0101010101040";"23";"699.1734";"2015-10-01";"";"2019-04-16"
"0101010101041";"23";"732.0833";"2015-10-01";"";"2019-04-16"
"0101010101042";"23";"732.0833";"2015-10-01";"";"2019-04-16"
"0101010101043";"23";"732.0833";"2015-10-01";"";"2019-04-16"
"0101010101044";"23";"732.0833";"2015-10-01";"";"2019-04-16"
"0101010101045";"23";"732.0833";"2015-10-01";"";"2019-04-16"
"0101040104001";"23";"539.1548";"2015-10-01";"";"2019-04-16"
"0101040104002";"23";"539.1548";"2015-10-01";"";"2019-04-16"
"0101040104003";"23";"539.1548";"2015-10-01";"";"2019-04-16"
