Product_ID;ProductLabel;CurrencyKey;UnitCost_CNY;SCD_EffectiveDate;ETL_LoadID;ETL_CreateDate
"0101010101001";"0101001";"23";"43.1222";"2012-10-01";"";"2019-04-16"
"0101010101002";"0101002";"23";"43.1222";"2012-10-01";"";"2019-04-16"
"0101010101003";"0101003";"23";"48.2031";"2012-10-01";"";"2019-04-16"
"0101010101004";"0101004";"23";"71.6532";"2012-10-01";"";"2019-04-16"
"0101010101005";"0101005";"23";"71.6532";"2012-10-01";"";"2019-04-16"
"0101010101006";"0101006";"23";"71.6532";"2012-10-01";"";"2019-04-16"
"0101010101007";"0101007";"23";"71.6532";"2012-10-01";"";"2019-04-16"
"0101010101008";"0101008";"23";"199.1959";"2012-10-01";"";"2019-04-16"
"0101010101009";"0101009";"23";"199.1959";"2012-10-01";"";"2019-04-16"
"0101010101010";"0101010";"23";"199.1959";"2012-10-01";"";"2019-04-16"
"0101010101011";"0101011";"23";"199.1959";"2012-10-01";"";"2019-04-16"
"0101010101012";"0101012";"23";"232.6774";"2012-10-01";"";"2019-04-16"
"0101010101013";"0101013";"23";"232.6774";"2012-10-01";"";"2019-04-16"
"0101010101014";"0101014";"23";"232.6774";"2012-10-01";"";"2019-04-16"
"0101010101015";"0101015";"23";"232.6774";"2012-10-01";"";"2019-04-16"
"0101010101016";"0101016";"23";"319.9942";"2012-01-01";"";"2019-04-16"
"0101010101017";"0101017";"23";"319.9942";"2012-01-01";"";"2019-04-16"
"0101010101018";"0101018";"23";"319.9942";"2012-01-01";"";"2019-04-16"
"0101010101019";"0101019";"23";"319.9942";"2012-01-01";"";"2019-04-16"
"0101010101020";"0101020";"23";"389.993";"2012-01-01";"";"2019-04-16"
"0101010101021";"0101021";"23";"389.993";"2012-01-01";"";"2019-04-16"
"0101010101022";"0101022";"23";"389.993";"2012-01-01";"";"2019-04-16"
"0101010101023";"0101023";"23";"389.993";"2012-01-01";"";"2019-04-16"
"0101010101029";"0101029";"23";"534.7372";"2012-01-01";"";"2019-04-16"
"0101010101030";"0101030";"23";"534.7372";"2012-01-01";"";"2019-04-16"
"0101010101031";"0101031";"23";"534.7372";"2012-01-01";"";"2019-04-16"
"0101010101032";"0101032";"23";"534.7372";"2012-01-01";"";"2019-04-16"
"0101010101033";"0101033";"23";"534.7372";"2012-01-01";"";"2019-04-16"
"0101010101034";"0101034";"23";"309.6147";"2012-01-01";"";"2019-04-16"
"0101010101035";"0101035";"23";"309.6147";"2012-01-01";"";"2019-04-16"
"0101010101036";"0101036";"23";"309.6147";"2012-01-01";"";"2019-04-16"
"0101010101037";"0101037";"23";"645.7906";"2012-10-01";"";"2019-04-16"
"0101010101038";"0101038";"23";"645.7906";"2012-10-01";"";"2019-04-16"
"0101010101039";"0101039";"23";"645.7906";"2012-10-01";"";"2019-04-16"
"0101010101040";"0101040";"23";"645.7906";"2012-10-01";"";"2019-04-16"
"0101040104001";"0104001";"23";"497.9896";"2012-10-01";"";"2019-04-16"
"0101040104002";"0104002";"23";"497.9896";"2012-10-01";"";"2019-04-16"
"0101040104003";"0104003";"23";"497.9896";"2012-10-01";"";"2019-04-16"
"0101040104004";"0104004";"23";"598.9555";"2012-10-01";"";"2019-04-16"
"0101040104005";"0104005";"23";"598.9555";"2012-10-01";"";"2019-04-16"
"0101040104006";"0104006";"23";"598.9555";"2012-10-01";"";"2019-04-16"
"0101040104007";"0104007";"23";"598.9555";"2012-10-01";"";"2019-04-16"
"0101040104008";"0104008";"23";"620.685";"2012-01-01";"";"2019-04-16"
"0101040104009";"0104009";"23";"620.685";"2012-01-01";"";"2019-04-16"
"0101040104010";"0104010";"23";"620.685";"2012-01-01";"";"2019-04-16"
"0101040104011";"0104011";"23";"620.685";"2012-01-01";"";"2019-04-16"
"0101040104012";"0104012";"23";"503.3454";"2012-01-01";"";"2019-04-16"
"0101040104013";"0104013";"23";"503.3454";"2012-01-01";"";"2019-04-16"
"0101040104014";"0104014";"23";"503.3454";"2012-01-01";"";"2019-04-16"
"0101040104015";"0104015";"23";"503.3454";"2012-01-01";"";"2019-04-16"
"0101060106001";"0106001";"23";"85.3324";"2012-10-01";"";"2019-04-16"
"0101060106002";"0106002";"23";"85.3324";"2012-10-01";"";"2019-04-16"
"0101060106003";"0106003";"23";"85.3324";"2012-10-01";"";"2019-04-16"
"0101060106004";"0106004";"23";"85.3324";"2012-10-01";"";"2019-04-16"
"0101060106005";"0106005";"23";"143.6321";"2012-10-01";"";"2019-04-16"
"0101060106006";"0106006";"23";"143.6321";"2012-10-01";"";"2019-04-16"
"0101060106007";"0106007";"23";"143.6321";"2012-10-01";"";"2019-04-16"
"0101060106008";"0106008";"23";"143.6321";"2012-10-01";"";"2019-04-16"
"0101060106009";"0106009";"23";"110.4411";"2012-01-01";"";"2019-04-16"
"0101060106010";"0106010";"23";"113.668";"2012-10-01";"";"2019-04-16"
"0101060106011";"0106011";"23";"113.668";"2012-10-01";"";"2019-04-16"
"0101060106012";"0106012";"23";"113.668";"2012-10-01";"";"2019-04-16"
"0101060106013";"0106013";"23";"121.4847";"2012-10-01";"";"2019-04-16"
"0101060106014";"0106014";"23";"121.4847";"2012-10-01";"";"2019-04-16"
"0101060106015";"0106015";"23";"121.4847";"2012-10-01";"";"2019-04-16"
"0101060106016";"0106016";"23";"121.4847";"2012-10-01";"";"2019-04-16"
"0101060106017";"0106017";"23";"121.4847";"2012-10-01";"";"2019-04-16"
"0101060106018";"0106018";"23";"291.0074";"2012-01-01";"";"2019-04-16"
"0101060106019";"0106019";"23";"291.0074";"2012-01-01";"";"2019-04-16"
"0101060106020";"0106020";"23";"291.0074";"2012-01-01";"";"2019-04-16"
"0101060106021";"0106021";"23";"291.0074";"2012-01-01";"";"2019-04-16"
"0101060106022";"0106022";"23";"291.0074";"2012-01-01";"";"2019-04-16"
"0101060106023";"0106023";"23";"314.488";"2012-01-01";"";"2019-04-16"
"0101060106024";"0106024";"23";"314.488";"2012-01-01";"";"2019-04-16"
"0101060106025";"0106025";"23";"314.488";"2012-01-01";"";"2019-04-16"
"0101060106026";"0106026";"23";"314.488";"2012-01-01";"";"2019-04-16"
"0101060106027";"0106027";"23";"314.488";"2012-01-01";"";"2019-04-16"
"0101060106028";"0106028";"23";"223.8185";"2012-10-01";"";"2019-04-16"
"0101060106029";"0106029";"23";"223.8185";"2012-10-01";"";"2019-04-16"
"0101060106030";"0106030";"23";"223.8185";"2012-10-01";"";"2019-04-16"
"0101060106031";"0106031";"23";"223.8185";"2012-10-01";"";"2019-04-16"
"0101060106032";"0106032";"23";"223.8185";"2012-10-01";"";"2019-04-16"
"0101060106037";"0106037";"23";"334.6775";"2012-01-01";"";"2019-04-16"
"0101060106038";"0106038";"23";"334.6775";"2012-01-01";"";"2019-04-16"
"0101060106039";"0106039";"23";"334.6775";"2012-01-01";"";"2019-04-16"
"0101060106040";"0106040";"23";"334.6775";"2012-01-01";"";"2019-04-16"
"0101060106046";"0106046";"23";"524.2311";"2012-01-01";"";"2019-04-16"
"0101060106047";"0106047";"23";"524.2311";"2012-01-01";"";"2019-04-16"
"0101060106048";"0106048";"23";"524.2311";"2012-01-01";"";"2019-04-16"
"0101060106049";"0106049";"23";"524.2311";"2012-01-01";"";"2019-04-16"
"0101060106050";"0106050";"23";"524.2311";"2012-01-01";"";"2019-04-16"
"0202010201001";"0201001";"23";"564.562";"2012-10-01";"";"2019-04-16"
"0202010201002";"0201002";"23";"564.562";"2012-10-01";"";"2019-04-16"
"0202010201003";"0201003";"23";"564.562";"2012-10-01";"";"2019-04-16"
"0202010201004";"0201004";"23";"398.4569";"2012-10-01";"";"2019-04-16"
"0202010201005";"0201005";"23";"398.4569";"2012-10-01";"";"2019-04-16"
"0202010201006";"0201006";"23";"398.4569";"2012-10-01";"";"2019-04-16"
"0202010201007";"0201007";"23";"838.7331";"2012-10-01";"";"2019-04-16"
"0202010201008";"0201008";"23";"838.7331";"2012-10-01";"";"2019-04-16"
"0202010201009";"0201009";"23";"838.7331";"2012-10-01";"";"2019-04-16"
"0202010201010";"0201010";"23";"476.2331";"2012-10-01";"";"2019-04-16"
"0202010201011";"0201011";"23";"476.2331";"2012-10-01";"";"2019-04-16"
"0202010201012";"0201012";"23";"476.2331";"2012-10-01";"";"2019-04-16"
"0202010201013";"0201013";"23";"476.2331";"2012-10-01";"";"2019-04-16"
"0202010201014";"0201014";"23";"664.225";"2012-10-01";"";"2019-04-16"
"0202010201015";"0201015";"23";"664.225";"2012-10-01";"";"2019-04-16"
"0202010201016";"0201016";"23";"664.225";"2012-10-01";"";"2019-04-16"
"0202010201017";"0201017";"23";"664.225";"2012-10-01";"";"2019-04-16"
