Product_ID;CurrencyKey;UnitCost_CNY;SCD_EffectiveDate;ETL_LoadID;ETL_CreateDate
"0101010101001";"23";"43.8985";"2013-10-01";"";"2019-04-16"
"0101010101002";"23";"43.8985";"2013-10-01";"";"2019-04-16"
"0101010101003";"23";"49.0709";"2013-10-01";"";"2019-04-16"
"0101010101004";"23";"72.9432";"2013-10-01";"";"2019-04-16"
"0101010101005";"23";"72.9432";"2013-10-01";"";"2019-04-16"
"0101010101006";"23";"72.9432";"2013-10-01";"";"2019-04-16"
"0101010101007";"23";"72.9432";"2013-10-01";"";"2019-04-16"
"0101010101008";"23";"202.7821";"2013-10-01";"";"2019-04-16"
"0101010101009";"23";"202.7821";"2013-10-01";"";"2019-04-16"
"0101010101010";"23";"202.7821";"2013-10-01";"";"2019-04-16"
"0101010101011";"23";"202.7821";"2013-10-01";"";"2019-04-16"
"0101010101012";"23";"236.8665";"2013-10-01";"";"2019-04-16"
"0101010101013";"23";"236.8665";"2013-10-01";"";"2019-04-16"
"0101010101014";"23";"236.8665";"2013-10-01";"";"2019-04-16"
"0101010101015";"23";"236.8665";"2013-10-01";"";"2019-04-16"
"0101010101016";"23";"319.7516";"2013-10-01";"";"2019-04-16"
"0101010101017";"23";"319.7516";"2013-10-01";"";"2019-04-16"
"0101010101018";"23";"319.7516";"2013-10-01";"";"2019-04-16"
"0101010101019";"23";"319.7516";"2013-10-01";"";"2019-04-16"
"0101010101020";"23";"389.6972";"2013-10-01";"";"2019-04-16"
"0101010101021";"23";"389.6972";"2013-10-01";"";"2019-04-16"
"0101010101022";"23";"389.6972";"2013-10-01";"";"2019-04-16"
"0101010101023";"23";"389.6972";"2013-10-01";"";"2019-04-16"
"0101010101024";"23";"581.825";"2012-01-01";"";"2019-04-16"
"0101010101025";"23";"581.825";"2012-01-01";"";"2019-04-16"
"0101010101026";"23";"581.825";"2012-01-01";"";"2019-04-16"
"0101010101027";"23";"581.825";"2012-01-01";"";"2019-04-16"
"0101010101028";"23";"581.825";"2012-01-01";"";"2019-04-16"
"0101010101029";"23";"534.3317";"2013-10-01";"";"2019-04-16"
"0101010101030";"23";"534.3317";"2013-10-01";"";"2019-04-16"
"0101010101031";"23";"534.3317";"2013-10-01";"";"2019-04-16"
"0101010101032";"23";"534.3317";"2013-10-01";"";"2019-04-16"
"0101010101033";"23";"534.3317";"2013-10-01";"";"2019-04-16"
"0101010101034";"23";"309.3799";"2013-10-01";"";"2019-04-16"
"0101010101035";"23";"309.3799";"2013-10-01";"";"2019-04-16"
"0101010101036";"23";"309.3799";"2013-10-01";"";"2019-04-16"
"0101010101037";"23";"657.4172";"2013-10-01";"";"2019-04-16"
"0101010101038";"23";"657.4172";"2013-10-01";"";"2019-04-16"
"0101010101039";"23";"657.4172";"2013-10-01";"";"2019-04-16"
"0101010101040";"23";"657.4172";"2013-10-01";"";"2019-04-16"
"0101010101041";"23";"675.241";"2012-01-01";"";"2019-04-16"
"0101010101042";"23";"675.241";"2012-01-01";"";"2019-04-16"
"0101010101043";"23";"675.241";"2012-01-01";"";"2019-04-16"
"0101010101044";"23";"675.241";"2012-01-01";"";"2019-04-16"
"0101010101045";"23";"675.241";"2012-01-01";"";"2019-04-16"
"0101040104001";"23";"506.9552";"2013-10-01";"";"2019-04-16"
"0101040104002";"23";"506.9552";"2013-10-01";"";"2019-04-16"
"0101040104003";"23";"506.9552";"2013-10-01";"";"2019-04-16"
"0101040104004";"23";"609.7388";"2013-10-01";"";"2019-04-16"
"0101040104005";"23";"609.7388";"2013-10-01";"";"2019-04-16"
"0101040104006";"23";"609.7388";"2013-10-01";"";"2019-04-16"
"0101040104007";"23";"609.7388";"2013-10-01";"";"2019-04-16"
"0101040104008";"23";"620.2143";"2013-10-01";"";"2019-04-16"
"0101040104009";"23";"620.2143";"2013-10-01";"";"2019-04-16"
"0101040104010";"23";"620.2143";"2013-10-01";"";"2019-04-16"
"0101040104011";"23";"620.2143";"2013-10-01";"";"2019-04-16"
"0101040104012";"23";"502.9636";"2013-10-01";"";"2019-04-16"
"0101040104013";"23";"502.9636";"2013-10-01";"";"2019-04-16"
"0101040104014";"23";"502.9636";"2013-10-01";"";"2019-04-16"
"0101040104015";"23";"502.9636";"2013-10-01";"";"2019-04-16"
"0101040104016";"23";"526.826";"2012-01-01";"";"2019-04-16"
"0101040104017";"23";"526.826";"2012-01-01";"";"2019-04-16"
"0101040104018";"23";"526.826";"2012-01-01";"";"2019-04-16"
"0101040104019";"23";"526.826";"2012-01-01";"";"2019-04-16"
"0101040104020";"23";"526.826";"2012-01-01";"";"2019-04-16"
"0101060106001";"23";"86.8687";"2013-10-01";"";"2019-04-16"
"0101060106002";"23";"86.8687";"2013-10-01";"";"2019-04-16"
"0101060106003";"23";"86.8687";"2013-10-01";"";"2019-04-16"
"0101060106004";"23";"86.8687";"2013-10-01";"";"2019-04-16"
"0101060106005";"23";"146.218";"2013-10-01";"";"2019-04-16"
"0101060106006";"23";"146.218";"2013-10-01";"";"2019-04-16"
"0101060106007";"23";"146.218";"2013-10-01";"";"2019-04-16"
"0101060106008";"23";"146.218";"2013-10-01";"";"2019-04-16"
"0101060106009";"23";"110.3573";"2013-10-01";"";"2019-04-16"
"0101060106010";"23";"115.7144";"2013-10-01";"";"2019-04-16"
"0101060106011";"23";"115.7144";"2013-10-01";"";"2019-04-16"
"0101060106012";"23";"115.7144";"2013-10-01";"";"2019-04-16"
"0101060106013";"23";"123.6719";"2013-10-01";"";"2019-04-16"
"0101060106014";"23";"123.6719";"2013-10-01";"";"2019-04-16"
"0101060106015";"23";"123.6719";"2013-10-01";"";"2019-04-16"
"0101060106016";"23";"123.6719";"2013-10-01";"";"2019-04-16"
"0101060106017";"23";"123.6719";"2013-10-01";"";"2019-04-16"
"0101060106018";"23";"290.7867";"2013-10-01";"";"2019-04-16"
"0101060106019";"23";"290.7867";"2013-10-01";"";"2019-04-16"
"0101060106020";"23";"290.7867";"2013-10-01";"";"2019-04-16"
"0101060106021";"23";"290.7867";"2013-10-01";"";"2019-04-16"
"0101060106022";"23";"290.7867";"2013-10-01";"";"2019-04-16"
"0101060106023";"23";"314.2495";"2013-10-01";"";"2019-04-16"
